w1,w2,w3,thetaA,f1
1.00,0.00,0.00,0.23,0.0134
1.00,0.00,0.00,0.20,0.0131
1.00,0.00,0.00,0.18,0.0129
0.33,0.33,0.33,0.95,0.0119
1.00,0.00,0.00,0.25,0.0116
0.50,0.50,0.00,0.60,0.0112
1.00,0.00,0.00,0.30,0.0109
0.50,0.40,0.10,0.60,0.0108
0.50,0.40,0.10,0.63,0.0107
1.00,0.00,0.00,0.28,0.0107
1.00,0.00,0.00,0.33,0.0104
0.50,0.50,0.00,0.63,0.0099
1.00,0.00,0.00,0.35,0.0093
0.50,0.40,0.10,0.65,0.0092
0.50,0.50,0.00,0.75,0.0092
1.00,0.00,0.00,0.38,0.0090
0.50,0.40,0.10,0.78,0.0090
0.50,0.40,0.10,0.73,0.0090
1.00,0.00,0.00,0.43,0.0090
0.50,0.50,0.00,0.70,0.0089
1.00,0.00,0.00,0.48,0.0088
1.00,0.00,0.00,0.40,0.0088
0.50,0.40,0.10,0.68,0.0087
1.00,0.00,0.00,0.53,0.0086
1.00,0.00,0.00,0.45,0.0086
0.50,0.50,0.00,0.65,0.0086
1.00,0.00,0.00,0.50,0.0084
0.33,0.33,0.33,0.80,0.0084
0.50,0.40,0.10,0.88,0.0083
0.33,0.33,0.33,0.93,0.0083
0.50,0.40,0.10,0.70,0.0082
0.50,0.40,0.10,0.75,0.0081
0.33,0.33,0.33,0.85,0.0081
0.50,0.50,0.00,0.68,0.0081
0.50,0.40,0.10,0.80,0.0080
0.50,0.50,0.00,0.73,0.0079
0.50,0.50,0.00,0.85,0.0077
0.50,0.50,0.00,0.78,0.0077
0.50,0.40,0.10,0.85,0.0076
0.50,0.00,0.50,0.63,0.0075
0.33,0.33,0.33,0.78,0.0073
0.50,0.00,0.50,0.60,0.0073
0.33,0.33,0.33,0.83,0.0071
1.00,0.00,0.00,0.55,0.0071
0.50,0.00,0.50,0.65,0.0069
1.00,0.00,0.00,0.60,0.0067
0.33,0.33,0.33,0.90,0.0067
0.33,0.33,0.33,0.73,0.0067
0.50,0.40,0.10,0.83,0.0066
1.00,0.00,0.00,0.58,0.0066
0.50,0.50,0.00,0.83,0.0066
0.50,0.50,0.00,0.58,0.0065
0.33,0.33,0.33,0.75,0.0064
0.50,0.40,0.10,0.95,0.0063
0.50,0.50,0.00,0.80,0.0062
1.00,0.00,0.00,0.63,0.0062
0.50,0.50,0.00,0.95,0.0062
0.50,0.00,0.50,0.68,0.0062
0.50,0.40,0.10,0.58,0.0061
0.50,0.40,0.10,0.93,0.0061
1.00,0.00,0.00,0.73,0.0060
0.50,0.50,0.00,0.93,0.0060
0.33,0.33,0.33,0.88,0.0059
1.00,0.00,0.00,0.70,0.0059
0.50,0.00,0.50,0.70,0.0058
0.50,0.40,0.10,0.90,0.0058
1.00,0.00,0.00,0.68,0.0058
0.50,0.50,0.00,0.90,0.0058
1.00,0.00,0.00,0.65,0.0057
0.50,0.50,0.00,0.88,0.0056
0.50,0.00,0.50,0.73,0.0055
1.00,0.00,0.00,0.75,0.0054
1.00,0.00,0.00,0.15,0.0051
1.00,0.00,0.00,0.83,0.0050
1.00,0.00,0.00,0.80,0.0049
1.00,0.00,0.00,0.78,0.0048
0.50,0.00,0.50,0.58,0.0044
0.50,0.00,0.50,0.75,0.0044
1.00,0.00,0.00,0.85,0.0044
0.50,0.00,0.50,0.90,0.0043
