method,attack_type,threshold,tpr,fpr
graph,ALL,0.0000,1.000000,1.000000
graph,FTP-Patator,0.0000,1.000000,1.000000
graph,ALL,0.0500,1.000000,1.000000
graph,FTP-Patator,0.0500,1.000000,1.000000
graph,ALL,0.1000,1.000000,1.000000
graph,FTP-Patator,0.1000,1.000000,1.000000
graph,ALL,0.1500,1.000000,1.000000
graph,FTP-Patator,0.1500,1.000000,1.000000
graph,ALL,0.2000,0.944444,0.891903
graph,FTP-Patator,0.2000,0.944444,0.891903
graph,ALL,0.2500,0.555556,0.660775
graph,FTP-Patator,0.2500,0.555556,0.660775
graph,ALL,0.3000,0.388889,0.197561
graph,FTP-Patator,0.3000,0.388889,0.197561
graph,ALL,0.3500,0.166667,0.072202
graph,FTP-Patator,0.3500,0.166667,0.072202
graph,ALL,0.4000,0.166667,0.066036
graph,FTP-Patator,0.4000,0.166667,0.066036
graph,ALL,0.4500,0.111111,0.063159
graph,FTP-Patator,0.4500,0.111111,0.063159
graph,ALL,0.5000,0.000000,0.059186
graph,FTP-Patator,0.5000,0.000000,0.059186
graph,ALL,0.5500,0.000000,0.056035
graph,FTP-Patator,0.5500,0.000000,0.056035
graph,ALL,0.6000,0.000000,0.052884
graph,FTP-Patator,0.6000,0.000000,0.052884
graph,ALL,0.6500,0.000000,0.050966
graph,FTP-Patator,0.6500,0.000000,0.050966
graph,ALL,0.7000,0.000000,0.049870
graph,FTP-Patator,0.7000,0.000000,0.049870
graph,ALL,0.7500,0.000000,0.048226
graph,FTP-Patator,0.7500,0.000000,0.048226
graph,ALL,0.8000,0.000000,0.045760
graph,FTP-Patator,0.8000,0.000000,0.045760
graph,ALL,0.8500,0.000000,0.043157
graph,FTP-Patator,0.8500,0.000000,0.043157
graph,ALL,0.9000,0.000000,0.017537
graph,FTP-Patator,0.9000,0.000000,0.017537
graph,ALL,0.9500,0.000000,0.009042
graph,FTP-Patator,0.9500,0.000000,0.009042
graph,ALL,1.0000,0.000000,0.000000
graph,FTP-Patator,1.0000,0.000000,0.000000
baseline,ALL,0.5000,0.444444,0.015345
baseline,FTP-Patator,0.5000,0.444444,0.015345
