w1,w2,w3,thetaA,f1
0.50,0.40,0.10,0.60,0.0108
0.80,0.10,0.10,0.40,0.0095
0.70,0.10,0.20,0.50,0.0093
0.60,0.20,0.20,0.50,0.0091
0.60,0.10,0.30,0.50,0.0090
0.60,0.30,0.10,0.50,0.0090
0.60,0.30,0.10,0.70,0.0089
0.50,0.30,0.20,0.70,0.0088
0.40,0.30,0.30,0.70,0.0086
0.80,0.10,0.10,0.50,0.0082
0.50,0.40,0.10,0.70,0.0082
0.70,0.20,0.10,0.50,0.0081
0.40,0.40,0.20,0.70,0.0080
0.60,0.10,0.30,0.60,0.0079
0.50,0.10,0.40,0.60,0.0073
0.50,0.20,0.30,0.60,0.0073
0.60,0.20,0.20,0.60,0.0072
0.70,0.10,0.20,0.60,0.0071
0.40,0.50,0.10,0.70,0.0069
0.60,0.30,0.10,0.60,0.0069
0.70,0.10,0.20,0.40,0.0068
0.70,0.20,0.10,0.60,0.0068
0.80,0.10,0.10,0.60,0.0067
0.40,0.10,0.50,0.70,0.0065
0.50,0.30,0.20,0.60,0.0065
0.70,0.20,0.10,0.40,0.0060
0.80,0.10,0.10,0.70,0.0060
0.70,0.10,0.20,0.70,0.0059
0.60,0.10,0.30,0.70,0.0058
0.50,0.10,0.40,0.70,0.0056
0.70,0.20,0.10,0.70,0.0055
0.60,0.20,0.20,0.70,0.0054
0.50,0.20,0.30,0.70,0.0054
0.40,0.20,0.40,0.70,0.0053
0.80,0.10,0.10,0.30,0.0045
0.10,0.80,0.10,0.30,0.0035
0.10,0.60,0.30,0.40,0.0035
0.20,0.60,0.20,0.40,0.0035
0.10,0.70,0.20,0.40,0.0035
0.20,0.70,0.10,0.30,0.0035
0.10,0.80,0.10,0.20,0.0035
0.10,0.80,0.10,0.40,0.0035
0.20,0.70,0.10,0.40,0.0035
0.10,0.60,0.30,0.50,0.0035
0.40,0.50,0.10,0.30,0.0035
0.10,0.70,0.20,0.30,0.0035
0.30,0.60,0.10,0.30,0.0035
0.50,0.40,0.10,0.30,0.0035
